id,title,date,journal
1,"A 44-year-old man with erythema of the face diphenhydramine, neck, and chest, weakness, and palpitations",01/01/2019,Journal of emergency nursing
2,"An evaluation of benadryl, pyribenzamine, and other so-called diphenhydramine antihistaminic drugs in the treatment of allergy.",01/01/2019,Journal of emergency nursing
3,Diphenhydramine hydrochloride helps symptoms of ciguatera fish poisoning.,01/02/2019,The Journal of pediatrics
4,Tetracycline Resistance Patterns of Lactobacillus buchneri Group Strains.,01/01/2020,Journal of food protection
5,Appositional Tetracycline bone formation rates in the Beagle.,01/02/2020,American journal of veterinary research
6,"Rapid reacquisition of contextual fear following extinction in mice: effects of amount of extinction, tetracycline acute ethanol withdrawal, and ethanol intoxication.",01/01/2020,Psychopharmacology
7,The High Cost of Epinephrine Autoinjectors and Possible Alternatives.,02/01/2020,The journal of allergy and clinical immunology. In practice
8,Time to epinephrine treatment is associated with the risk of mortality in children who achieve sustained ROSC after traumatic out-of-hospital cardiac arrest.,03/01/2020,The journal of allergy and clinical immunology. In practice
9,Gold nanoparticles synthesized from Euphorbia fischeriana root by green route method alleviates the isoprenaline hydrochloride induced myocardial infarction in rats.,01/01/2020,"Journal of photochemistry and photobiology. B, Biology"
10,Clinical implications of umbilical artery Doppler changes after betamethasone administration,01/01/2020,The journal of maternal-fetal & neonatal medicine
11,Effects of Topical Application of Betamethasone on Imiquimod-induced Psoriasis-like Skin Inflammation in Mice.,01/01/2020,Journal of back and musculoskeletal rehabilitation
12,"Comparison of pressure release, phonophoresis and dry needling in treatment of latent myofascial trigger point of upper trapezius muscle.",03/01/2020,Journal of back and musculoskeletal rehabilitation
-1,"Comparison of pressure BETAMETHASONE release, phonophoresis and dry needling in treatment of latent myofascial trigger point of upper trapezius ATROPINE muscle.",03/01/2020,The journal of maternal-fetal & neonatal medicine
